Número,Tsotsil
1,jun
2,chib
3,oxib
4,chanib
5,jo'ob
6,vakib
7,jukub
8,vaxakib
9,baluneb
10,lajuneb
11,buluchib
12,lajchaeb
13,oxlajuneb
14,chanlajuneb
15,jo'lajuneb
16,vaclajuneb
17,vuklajuneb
18,vaxacklajuneb
19,balunlajuneb
20,jtob
21,jun scha'vinik
22,chib scha'vinik
23,oxib scha'vinik
24,chanib scha'vinik
25,jo'ob scha'vinik
26,vakib scha'vinik
27,jukub scha'vinik
28,vaxakib scha'vinik
29,baluneb scha'vinik
30,lajuneb scha'vinik
31,buluchib scha'vinik
32,lajchaeb scha'vinik
33,oxlajuneb scha'vinik
34,chanlajuneb scha'vinik
35,jo'lajuneb scha'vinik
36,vaclajuneb scha'vinik
37,vuklajuneb scha'vinik
38,vaxacklajuneb scha'vinik
39,balunlajuneb scha'vinik
40,cha'vinik
41,jun yoxvinik
42,chib yoxvinik
43,oxib yoxvinik
44,chanib yoxvinik
45,jo'ob yoxvinik
46,vakib yoxvinik
47,jukub yoxvinik
48,vaxakib yoxvinik
49,baluneb yoxvinik
50,lajuneb yoxvinik
51,buluchib yoxvinik
52,lajchaeb yoxvinik
53,oxlajuneb yoxvinik
54,chanlajuneb yoxvinik
55,jo'lajuneb yoxvinik
56,vaclajuneb yoxvinik
57,vuklajuneb yoxvinik
58,vaxacklajuneb yoxvinik
59,balunlajuneb yoxvinik
60,oxvinik
61,jun schanvinik
62,chib schanvinik
63,oxib schanvinik
64,chanib schanvinik
65,jo'ob schanvinik
66,vakib schanvinik
67,jukub schanvinik
68,vaxakib schanvinik
69,baluneb schanvinik
70,lajuneb schanvinik
71,buluchib schanvinik
72,lajchaeb schanvinik
73,oxlajuneb schanvinik
74,chanlajuneb schanvinik
75,jo'lajuneb schanvinik
76,vaclajuneb schanvinik
77,vuklajuneb schanvinik
78,vaxacklajuneb schanvinik
79,balunlajuneb schanvinik
80,chanvinik
81,jun yo'vinik
82,chib yo'vinik
83,oxib yo'vinik
84,chanib yo'vinik
85,jo'ob yo'vinik
86,vakib yo'vinik
87,jukub yo'vinik
88,vaxakib yo'vinik
89,baluneb yo'vinik
90,lajuneb yo'vinik
91,buluchib yo'vinik
92,lajchaeb yo'vinik
93,oxlajuneb yo'vinik
94,chanlajuneb yo'vinik
95,jo'lajuneb yo'vinik
96,vaclajuneb yo'vinik
97,vuklajuneb yo'vinik
98,vaxacklajuneb yo'vinik
99,balunlajuneb yo'vinik
100,jo'vinik
101,jun svacvinic
102,chib svacvinic
103,oxib svacvinic
104,chanib svacvinic
105,jo'ob svacvinic
106,vakib svacvinic
107,jukub svacvinic
108,vaxakib svacvinic
109,baluneb svacvinic
110,lajuneb svacvinic
111,buluchib svacvinic
112,lajchaeb svacvinic
113,oxlajuneb svacvinic
114,chanlajuneb svacvinic
115,jo'lajuneb svacvinic
116,vaclajuneb svacvinic
117,vuklajuneb svacvinic
118,vaxacklajuneb svacvinic
119,balunlajuneb svacvinic
120,vakvinik
121,jun sjucvinic
122,chib sjucvinic
123,oxib sjucvinic
124,chanib sjucvinic
125,jo'ob sjucvinic
126,vakib sjucvinic
127,jukub sjucvinic
128,vaxakib sjucvinic
129,baluneb sjucvinic
130,lajuneb sjucvinic
131,buluchib sjucvinic
132,lajchaeb sjucvinic
133,oxlajuneb sjucvinic
134,chanlajuneb sjucvinic
135,jo'lajuneb sjucvinic
136,vaclajuneb sjucvinic
137,vuklajuneb sjucvinic
138,vaxacklajuneb sjucvinic
139,balunlajuneb sjucvinic
140,jucvinik
141,jun svaxacvinik
142,chib svaxacvinik
143,oxib svaxacvinik
144,chanib svaxacvinik
145,jo'ob svaxacvinik
146,vakib svaxacvinik
147,jukub svaxacvinik
148,vaxakib svaxacvinik
149,baluneb svaxacvinik
150,lajuneb svaxacvinik
151,buluchib svaxacvinik
152,lajchaeb svaxacvinik
153,oxlajuneb svaxacvinik
154,chanlajuneb svaxacvinik
155,jo'lajuneb svaxacvinik
156,vaclajuneb svaxacvinik
157,vuklajuneb svaxacvinik
158,vaxacklajuneb svaxacvinik
159,balunlajuneb svaxacvinik
160,vaxacvinik
161,jun sbalunvinik
162,chib sbalunvinik
163,oxib sbalunvinik
164,chanib sbalunvinik
165,jo'ob sbalunvinik
166,vakib sbalunvinik
167,jukub sbalunvinik
168,vaxakib sbalunvinik
169,baluneb sbalunvinik
170,lajuneb sbalunvinik
171,buluchib sbalunvinik
172,lajchaeb sbalunvinik
173,oxlajuneb sbalunvinik
174,chanlajuneb sbalunvinik
175,jo'lajuneb sbalunvinik
176,vaclajuneb sbalunvinik
177,vuklajuneb sbalunvinik
178,vaxacklajuneb sbalunvinik
179,balunlajuneb sbalunvinik
180,balunvinic
181,jun slajunvinik
182,chib slajunvinik
183,oxib slajunvinik
184,chanib slajunvinik
185,jo'ob slajunvinik
186,vakib slajunvinik
187,jukub slajunvinik
188,vaxakib slajunvinik
189,baluneb slajunvinik
190,lajuneb slajunvinik
191,buluchib slajunvinik
192,lajchaeb slajunvinik
193,oxlajuneb slajunvinik
194,chanlajuneb slajunvinik
195,jo'lajuneb slajunvinik
196,vaclajuneb slajunvinik
197,vuklajuneb slajunvinik
198,vaxacklajuneb slajunvinik
199,balunlajuneb slajunvinik
200,lajunvinik
201,jun sbuluchibvinik
202,chib sbuluchibvinik
