Numero,Español,Tseltal/Tzotzil
1o.,primero,"sba, pimero"
2o.,segundo,schibal
3o.,tercero,yoxibal
4o.,cuarto,schanibal
5o.,quinto,yo'obal
6o.,sexto,svaquibal
7o.,séptimo,sjucubal
8o.,octavo,svaxaquibal
9o.,noveno,sbalunebal
10o.,décimo,slajunebal
11o.,"undécimo, decimoprimero",sbuluchibal
12o.,"duodécimo, decimosegundo",slajchaebal
13o.,decimotercero,yoxlajunebal
14o.,decimocuarto,schanlajunebal
15o.,decimoquinto,yo'lajunebal
16o.,decimosexto,svaclajunebal
17o.,decimoséptimo,sjuclajunebal
18o.,decimoctavo,svaxaclajunebal
19o.,decimonoveno,sbalunlajunebal
20o.,vigésimo,stobal
21o.,vigésimo primero,jun scha'vinical
22o.,vigésimo segundo,schibal scha'vinical
30o.,trigésimo,slajunebal scha'vinical
31o.,trigésimo primero,sbuluchibal scha'vinical
32o.,trigésimo segundo,slajchaebal scha'vinical
39o.,trigésimo noveno,sbalunlajunebal scha'vinical
40o.,cuadragésimo,scha'vinical
50o.,quincuagésimo,slajunebal yoxvinical
60o.,sexagésimo,yoxvinical
70o.,septuagésimo,slajunebal schanvinical
80o.,octogésimo,schanvinical
90o.,nonagésimo,slajunebal yo'vinical
100o.,centésimo,yo'vinical
101o.,centésimo primero,jun svacvinical
120o.,centésimo vigésimo,svacvinical
140o.,centésimo cuadragésimo,sjucvinical
150o.,centésimo quincuagésimo,slajunebal svaxacvinical
160o.,centésimo sexagésimo,svaxacvinical
180o.,centésimo octogésimo,sbalunvinical
200o.,ducentésimo,slajunvinical
300o.,tricentésimo,sjo'lajunvinical
400o.,cuadringentésimo,stobalvinical
