id,peso,entrada_espanol,forma_espanol,tipo_abreviado,tipo_palabra,traduccion_tsotsil,uso_o_ejemplo,region_abreviada,region,vease,nota_parentesis,transcripcion_original

0,1,hola,,saludo,saludo,k'uxi,Hola. ¿Cómo estás? K'uxi, k'uxi a vo'oton?,,,,,,hola saludo k'uxi. Hola. ¿Cómo estás? K'uxi, k'uxi a vo'oton?
1,9,a,,prep,preposición,ta,Voy a México. Chibat ta México,,,,,a prep ta Voy a México. Chibat ta ta Voy a México. Chibat ta México.
2,9,abajeño,,m,sustantivo masculino,"j'olonal-osil, jtolon-osilal (crixchano, vinic, etc",Este hombre es abajeño; viene de las tierras bajas. J'olon-osilal vinic li'i yulun talem ta olon osil. Chen j!olon vinic,Ch'en,Chenalhó,,,"abajeño m j'olonal-osil, jtolon-osilal j'olonal-osil, jtolon-osilal (crixchano, vinic, etc Este hombre es abajeño; viene de las tierras bajas. J'olon-osilal vinic li'i yulun talem ta olon osil. Chen j!olon vinic"
3,9,abajo,,adv,adverbio,olon abajo de ta yolon,Mi casa está más abajo de la iglesia. Li jnae tey oy ta yolon ch'ulna,,,,,abajo adv olon abajo de ta yolon. olon abajo de ta yolon. Mi casa está más abajo de la iglesia. Li jnae tey oy ta yolon ch'ulna.
4,9,abandonar,lo abandona,vr,verbo reflexivo,"ta xicta, ta scomtsan","El hombre abandonó a su mujer; se f volvió. Iyicta yaj ibat, mu xa bu ital",,,,,"abandonar: lo abandona vr ta xicta, ta xicta, ta scomtsan. El hombre abandonó a su mujer; se f volvió. Iyicta yaj ibat, mu xa bu ital."
5,9,abanicar,lo abanica,vt,verbo transitivo,ta svel,María abanica a su niño cuando hace mucho calor. Li xMale ta svelulanbe ic! li yol li claluc toj q!uixin li clactale,,,,,abanicar: lo abanica vt ta svel. ta svel. María abanica a su niño cuando hace mucho calor. Li xMale ta svelulanbe ic! li yol li claluc toj q!uixin li clactale.
6,9,abanico,,m,sustantivo masculino,"velob-ic!, svelobil. En tierra caliente las mujeres se echan aire con el abanico. Ta q!uixin osile li antsetique ta xac'be sbaic ic! ta velob-ic!. Ch!en velub-ic!",,Ch'en,Chenalhó,,,"abanico m velob-ic!, svelobil. En velob-ic!, svelobil. En tierra caliente las mujeres se echan aire con el abanico. Ta q!uixin osile li antsetique ta xac'be sbaic ic! ta velob-ic!. Ch!en velub-ic!"
7,9,abaratarse,se abarata,vr,verbo reflexivo,"ta xyal stojol, ta x'utsib","Cuando hay mucho maíz se abarata; pero cuando escasea, sube de precio. C!aluc oy ep ixime ta xyal stojol, pero mi mulyuque ta xtoy stojol. Chien ta stsul",,,,,"abaratarse: se abarata vr ta xyal ta xyal stojol, ta x'utsib. Cuando hay mucho maíz se abarata; pero cuando escasea, sube de precio. C!aluc oy ep ixime ta xyal stojol, pero mi mulyuque ta xtoy stojol. Chien ta stsul"
8,9,abarcar,lo abarca,vt,verbo transitivo,ta smac. Quiere abarcar más trabajo del que puede hacer. Chac smac ya!i ep abtel li buchtu xu! yulun ta spasel ti yaloje.,,,,,,abarcar: lo abarca ví ta smac. ta smac. Quiere abarcar más trabajo del que puede hacer. Chac smac ya!i ep abtel li buchtu xu! yulun ta spasel ti yaloje.
9,9,abdomen,,m,sustantivo masculino,"jch!utic, sctunil jchtutic, ch'util","Me duele el abdomen, al rato veré al doctor. C'ux li jch'ute, ta jliquel chba jpoxtavanej. jq!uel",,,,,"abdomen m jch!utic, sctunil jchtutic, jch!utic, sctunil jchtutic, ch'util. Me duele el abdomen, al rato veré al doctor. C'ux li jch'ute, ta jliquel chba jpoxtavanej. jq!uel"
10,9,abeja,,f,sustantivo femenino,"chanul pom, chanul ajapom",La miel de abeja es muy dulce. Li spom li chanul pome toj lec chi!,,,,,"abeja f chanul pom, chanul ajapom. chanul pom, chanul ajapom. La miel de abeja es muy dulce. Li spom li chanul pome toj lec chi!."
